ticket_id,ticket_text,category,priority
77,"The login page is returning an error and I cannot access the system.",Technical Issue,High
78,"Please apply the discount code I forgot to use during checkout.",Billing,Medium
79,"I am getting an error saying my account does not exist.",Account,High
80,"How do I generate a usage report for my account?",General Query,Low
81,"The desktop application refuses to install on my Windows 11 computer.",Technical Issue,Medium
82,"My subscription renewal failed and now I cannot access premium features.",Billing,High
83,"I cannot see my purchase history in my account dashboard.",Account,Low
84,"What file formats does your export feature support?",General Query,Low
85,"Audio is not working in video calls despite having a working microphone.",Technical Issue,Medium
86,"I was not informed about a price increase before being charged more.",Billing,High
87,"I need to merge two accounts that I accidentally created.",Account,Medium
88,"How do I share a document with someone who does not have an account?",General Query,Low
89,"Screen sharing is not functioning during online meetings.",Technical Issue,Medium
90,"I was double billed because my payment failed and then succeeded.",Billing,High
91,"My account username does not reflect the changes I made last week.",Account,Low
92,"Does the application support offline mode?",General Query,Low
93,"The data export is failing with a timeout error for large datasets.",Technical Issue,Medium
94,"I need a receipt for my purchase for business expense reporting.",Billing,Low
95,"My account has incorrect details that I cannot edit in the settings.",Account,Medium
96,"How do I cancel my subscription?",General Query,Low
97,"Unable to connect to the server, getting a connection timeout error.",Technical Issue,High
98,"I received a refund but it was for the wrong amount.",Billing,Medium
99,"I lost access to my account after my email provider changed.",Account,High
100,"What happens to my data if I cancel my subscription?",General Query,Low
